driverId,driverRef,code,forename,surname,FullName
1,hamilton,HAM,Lewis,Hamilton,Lewis Hamilton
4,alonso,ALO,Fernando,Alonso,Fernando Alonso
8,raikkonen,RAI,Kimi,Räikkönen,Kimi Räikkönen
9,kubica,KUB,Robert,Kubica,Robert Kubica
20,vettel,VET,Sebastian,Vettel,Sebastian Vettel
154,grosjean,GRO,Romain,Grosjean,Romain Grosjean
842,gasly,GAS,Pierre,Gasly,Pierre Gasly
817,ricciardo,RIC,Daniel,Ricciardo,Daniel Ricciardo
822,bottas,BOT,Valtteri,Bottas,Valtteri Bottas
825,kevin_magnussen,MAG,Kevin,Magnussen,Kevin Magnussen
826,kvyat,KVY,Daniil,Kvyat,Daniil Kvyat
830,max_verstappen,VER,Max,Verstappen,Max Verstappen
832,sainz,SAI,Carlos,Sainz,Carlos Sainz
839,ocon,OCO,Esteban,Ocon,Esteban Ocon
840,stroll,STR,Lance,Stroll,Lance Stroll
841,giovinazzi,GIO,Antonio,Giovinazzi,Antonio Giovinazzi
844,leclerc,LEC,Charles,Leclerc,Charles Leclerc
846,norris,NOR,Lando,Norris,Lando Norris
847,russell,RUS,George,Russell,George Russell
848,albon,ALB,Alexander,Albon,Alexander Albon
849,latifi,LAT,Nicholas,Latifi,Nicholas Latifi
850,pietro_fittipaldi,FIT,Pietro,Fittipaldi,Pietro Fittipaldi
851,aitken,AIT,Jack,Aitken,Jack Aitken
852,tsunoda,TSU,Yuki,Tsunoda,Yuki Tsunoda
853,mazepin,MAZ,Nikita,Mazepin,Nikita Mazepin
854,mick_schumacher,MSC,Mick,Schumacher,Mick Schumacher
807,hulkenberg,HUL,Nico,Hulkenberg,Nico Hulkenberg
815,perez,PER,Sergio,Perez,Sergio Perez
